Date active,Building address,Unit,Rent,Payment Standard (PS),Ratio,# Beds,# Baths,Months Free,Owner Paid,Rent Stabilized,Postal Code,Building Price Range,Neighborhood,Parent Neighborhood,Neighborhood3,Property Manager,Number of Floors,Number of Units,Year Built,Active,Amenities,,,,,,,,,,,,,
5/5/2024,120 West 112th Street,3A/1,2000,2624,0.8,Studio,1,,,,10026,$$,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6,24,1910,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,
5/5/2024,120 West 112th Street,4A/1,1500,2624,0.6,Studio,1,,,,10026,$$,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6,24,1910,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,
5/5/2024,120 West 112th Street,4A/3,1600,2624,0.6,Studio,1,,,,10026,$$,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6,24,1910,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,
5/5/2024,120 West 112th Street,3A/2,2050,2624,0.8,Studio,1,,,,10026,$$,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6,24,1910,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,
5/5/2024,120 West 112th Street,5A/1,1550,2624,0.6,Studio,1,,,,10026,$$,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6,24,1910,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,
5/5/2024,124 Ridge Street,2R/ 2,2100,2624,0.8,Studio,1,,,,10002,$$,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5,8,,Yes,Management Company,,Walk up,,,,,,,,,,,
5/5/2024,124 Ridge Street,2R/1,2100,2624,0.8,Studio,1,,,,10002,$$,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5,8,,Yes,Management Company,,Walk up,,,,,,,,,,,
5/5/2024,124 Ridge Street,2R/4,1900,2624,0.7,Studio,1,,,,10002,$$,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5,8,,Yes,Management Company,,Walk up,,,,,,,,,,,
5/5/2024,124 Ridge Street,2R/3,2000,2624,0.8,Studio,1,,,,10002,$$,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5,8,,Yes,Management Company,,Walk up,,,,,,,,,,,
5/5/2024,129 West 116th Street,4B/1,1500,2624,0.6,Studio,1,,,,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5,10,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,129 West 116th Street,4B/1,1500,2624,0.6,Studio,1,,,,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5,10,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,129 West 116th Street,5B/1,1450,2624,0.6,Studio,1,,,,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5,10,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,129 West 116th Street,5B/3,1500,2624,0.6,Studio,1,,,,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5,10,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,129 West 116th Street,5B,1450,2624,0.6,Studio,1,,,,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5,10,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,129 West 116th Street,4B/3,1450,2624,0.6,Studio,1,,,,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5,10,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,129 West 116th Street,5B/1,1500,2624,0.6,Studio,1,,,,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5,10,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,129 West 116th Street,5B/2,1400,2624,0.5,Studio,1,,,,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5,10,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,129 West 116th Street,5B/3,1500,2624,0.6,Studio,1,,,,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5,10,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,141 Hart Street,2-Feb,1400,2624,0.5,Studio,2.5,,,,11206,$,Bedford-Stuyvesant,,,Aya Co Living,4,3,2014,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,
5/5/2024,141 Hart Street,4-Mar,1400,2624,0.5,Studio,2.5,,,,11206,$,Bedford-Stuyvesant,,,Aya Co Living,4,3,2014,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,
5/5/2024,141 Hart Street,/1'2,1350,2624,0.5,Studio,2,,,,11206,$,Bedford-Stuyvesant,,,Aya Co Living,4,3,2014,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,
5/5/2024,141 Hart Street,1-Jan,1350,2624,0.5,Studio,2,,,,11206,$,Bedford-Stuyvesant,,,Aya Co Living,4,3,2014,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,
5/5/2024,141 Hart Street,5-Jan,1350,2624,0.5,Studio,2,,,,11206,$,Bedford-Stuyvesant,,,Aya Co Living,4,3,2014,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,
5/5/2024,141 Hart Street,1-Feb,1350,2624,0.5,Studio,2.5,,,,11206,$,Bedford-Stuyvesant,,,Aya Co Living,4,3,2014,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,
5/5/2024,102 Jefferson Street,3-Jan,1400,2624,0.5,Studio,1.5,,,,11206,$$,Bushwick,,,Aya Co Living,3,2,2008,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,102 Jefferson Street,3-Feb,1300,2624,0.5,Studio,2,,,,11206,$$,Bushwick,,,Aya Co Living,3,2,2008,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,102 Jefferson Street,2-Jan,1400,2624,0.5,Studio,1.5,,,,11206,$$,Bushwick,,,Aya Co Living,3,2,2008,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,102 Jefferson Street,2-Feb,1350,2624,0.5,Studio,2,,,,11206,$$,Bushwick,,,Aya Co Living,3,2,2008,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,102 Jefferson Street,2/,1300,2624,0.5,Studio,2,,,,11206,$$,Bushwick,,,Aya Co Living,3,2,2008,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,102 Jefferson Street,4-Jan,1450,2624,0.6,Studio,1.5,,,,11206,$$,Bushwick,,,Aya Co Living,3,2,2008,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,120 Mulberry Street,1-Feb,2350,2624,0.9,Studio,1,,,,10013,$$,Little Italy,Lower East Side,Lower Manhattan,Aya Co Living,5,8,1910,Yes,Laundry in Building,Management Company,,Walk up,,,,,,,,,,
5/5/2024,120 Mulberry Street,2-Feb,2300,2624,0.9,Studio,1,,,,10013,$$,Little Italy,Lower East Side,Lower Manhattan,Aya Co Living,5,8,1910,Yes,Laundry in Building,Management Company,,Walk up,,,,,,,,,,
5/5/2024,120 West 112th Street,3A/2,1600,2624,0.6,Studio,1,,,,10026,$$,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6,24,1910,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,
5/5/2024,120 West 112th Street,4A/2,1550,2624,0.6,Studio,1,,,,10026,$$,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6,24,1910,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,
5/5/2024,120 West 112th Street,3A/1,1500,2624,0.6,Studio,1,,,,10026,$$,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6,24,1910,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,
5/5/2024,120 West 112th Street,3A/3,1600,2624,0.6,Studio,1,,,,10026,$$,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6,24,1910,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,
5/5/2024,141 Hart Street,3-Feb,1350,2624,0.5,Studio,2.5,,,,11206,$,Bedford-Stuyvesant,,,Aya Co Living,4,3,2014,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,
5/5/2024,141 Hart Street,4-Feb,1400,2624,0.5,Studio,2.5,,,,11206,$,Bedford-Stuyvesant,,,Aya Co Living,4,3,2014,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,
5/5/2024,141 Hart Street,1,1300,2624,0.5,Studio,2,,,,11206,$,Bedford-Stuyvesant,,,Aya Co Living,4,3,2014,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,
5/5/2024,141 Hart Street,1-Mar,1300,2624,0.5,Studio,2.5,,,,11206,$,Bedford-Stuyvesant,,,Aya Co Living,4,3,2014,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,
5/5/2024,141 Hart Street,4-Jan,1350,2624,0.5,Studio,2,,,,11206,$,Bedford-Stuyvesant,,,Aya Co Living,4,3,2014,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,
5/5/2024,1433 Dekalb Avenue,8A/2,1800,2624,0.7,Studio,2,,,,11237,$$$,Bushwick,,,Aya Co Living,8,25,2013,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,
5/5/2024,1433 Dekalb Avenue,8A/4,1750,2624,0.7,Studio,2,,,,11237,$$$,Bushwick,,,Aya Co Living,8,25,2013,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,
5/5/2024,1433 Dekalb Avenue,8A/1,1800,2624,0.7,Studio,2,,,,11237,$$$,Bushwick,,,Aya Co Living,8,25,2013,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,
5/5/2024,1433 Dekalb Avenue,8C/4,1800,2624,0.7,Studio,2,,,,11237,$$$,Bushwick,,,Aya Co Living,8,25,2013,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,
