Date active,Building address,Unit,Rent,Payment Standard (PS),Ratio,# Beds,# Baths,Months Free,Owner Paid,Rent Stabilized,Postal Code,Building Price Range,Neighborhood,Parent Neighborhood,Neighborhood3,Property Manager,Number of Floors,Number of Units,Year Built,Active,Amenities,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Probability
5/5/2024,120 West 112th Street,3A/1,2000.0,2624,0.8,Studio,1.0,nan,nan,nan,10026,$$,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6.0,24,1910.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,nan,Cats Allowed,Dogs Allowed,nan,nan,nan,nan,0.9940710130287528
5/5/2024,120 West 112th Street,4A/1,1500.0,2624,0.6,Studio,1.0,nan,nan,nan,10026,$$,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6.0,24,1910.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,nan,Cats Allowed,Dogs Allowed,nan,nan,nan,nan,0.9976409513968135
5/5/2024,120 West 112th Street,4A/3,1600.0,2624,0.6,Studio,1.0,nan,nan,nan,10026,$$,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6.0,24,1910.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,nan,Cats Allowed,Dogs Allowed,nan,nan,nan,nan,0.9974511205831311
5/5/2024,120 West 112th Street,3A/2,2050.0,2624,0.8,Studio,1.0,nan,nan,nan,10026,$$,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6.0,24,1910.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,nan,Cats Allowed,Dogs Allowed,nan,nan,nan,nan,0.99383793635225
5/5/2024,120 West 112th Street,5A/1,1550.0,2624,0.6,Studio,1.0,nan,nan,nan,10026,$$,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6.0,24,1910.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,nan,Cats Allowed,Dogs Allowed,nan,nan,nan,nan,0.9975478677512807
5/5/2024,124 Ridge Street,2R/ 2,2100.0,2624,0.8,Studio,1.0,nan,nan,nan,10002,$$,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5.0,8,nan,Yes,Management Company,nan,Walk up,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9957357526846954
5/5/2024,124 Ridge Street,2R/1,2100.0,2624,0.8,Studio,1.0,nan,nan,nan,10002,$$,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5.0,8,nan,Yes,Management Company,nan,Walk up,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9957357526846954
5/5/2024,124 Ridge Street,2R/4,1900.0,2624,0.7,Studio,1.0,nan,nan,nan,10002,$$,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5.0,8,nan,Yes,Management Company,nan,Walk up,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9972046905862656
5/5/2024,124 Ridge Street,2R/3,2000.0,2624,0.8,Studio,1.0,nan,nan,nan,10002,$$,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5.0,8,nan,Yes,Management Company,nan,Walk up,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9960528319991205
5/5/2024,129 West 116th Street,4B/1,1500.0,2624,0.6,Studio,1.0,nan,nan,nan,10026,$$,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,nan,Walk up,nan,nan,nan,nan,nan,nan,nan,0.9976409513968135
