,Date active,Building address,Unit,Rent,Payment Standard (PS),Ratio,# Beds,# Baths,Months Free,Owner Paid,Rent Stabilized,Postal Code,Building Price Range,Borough,Neighborhood,Parent Neighborhood,Neighborhood3,Property Manager,Number of Floors,Number of Units,Year Built,Active,Amenities,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Probability,URL
0,5/5/2024,120 West 112th Street,3A/1,2000,2624,0.8,Studio,1.0,,,,10026,$$,Manhattan,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6.0,24,1910.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,,0.994071013,
1,5/5/2024,120 West 112th Street,4A/1,1500,2624,0.6,Studio,1.0,,,,10026,$$,Manhattan,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6.0,24,1910.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,,0.997640951,
2,5/5/2024,120 West 112th Street,4A/3,1600,2624,0.6,Studio,1.0,,,,10026,$$,Manhattan,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6.0,24,1910.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,,0.997451121,
3,5/5/2024,120 West 112th Street,3A/2,2050,2624,0.8,Studio,1.0,,,,10026,$$,Manhattan,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6.0,24,1910.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,,0.993837936,
4,5/5/2024,120 West 112th Street,5A/1,1550,2624,0.6,Studio,1.0,,,,10026,$$,Manhattan,South Harlem,Harlem,Upper Manhattan,Aya Co Living,6.0,24,1910.0,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,Cats Allowed,Dogs Allowed,,,,,0.997547868,
5,5/5/2024,124 Ridge Street,2R/ 2,2100,2624,0.8,Studio,1.0,,,,10002,$$,Manhattan,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5.0,8,,Yes,Management Company,,Walk up,,,,,,,,,,,,0.995735753,
6,5/5/2024,124 Ridge Street,2R/1,2100,2624,0.8,Studio,1.0,,,,10002,$$,Manhattan,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5.0,8,,Yes,Management Company,,Walk up,,,,,,,,,,,,0.995735753,
7,5/5/2024,124 Ridge Street,2R/4,1900,2624,0.7,Studio,1.0,,,,10002,$$,Manhattan,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5.0,8,,Yes,Management Company,,Walk up,,,,,,,,,,,,0.997204691,
8,5/5/2024,124 Ridge Street,2R/3,2000,2624,0.8,Studio,1.0,,,,10002,$$,Manhattan,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5.0,8,,Yes,Management Company,,Walk up,,,,,,,,,,,,0.996052832,
9,5/5/2024,129 West 116th Street,4B/1,1500,2624,0.6,Studio,1.0,,,,10026,$$,Manhattan,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.997640951,
