Street Address,Locality,Region,Postal Code,Country,Latitude,Longitude,Rent,Price Currency,Description,Property Type,# Beds,# Baths,Square Footage,URL
17 E 17th Street #D4,Brooklyn,NY,11226,USA,40.650599,-73.963954,3150,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/Brooklyn/17-E-17th-Street/property/16519033
468 Myrtle Avenue #2,Brooklyn,NY,11205,USA,40.693245,-73.966543,2800,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/Brooklyn/468-Myrtle-Avenue/property/16458915
442 Decatur Street #7-C,New York City,NY,11233,USA,40.682302,-73.925097,3150,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/New-York-City/442-Decatur-Street/property/33962545
2316 Clarendon Road #5 D,Brooklyn,NY,11226,USA,40.642604,-73.954855,2675,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/Brooklyn/2316-Clarendon-Road/property/33953178
900 New York Avenue #2-C,Brooklyn,NY,11203,USA,40.651385,-73.947046,2995,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/Brooklyn/900-New-York-Avenue/property/16586842
593 Morgan Avenue #1,Brooklyn,NY,11222,USA,40.724817,-73.939888,4400,USD,"Condo, 2 Beds, 1 Bath, 1,330 Sq Ft",Condo,2,1,1330,https://www.citysnap.com/NY/Brooklyn/593-Morgan-Avenue/property/16588821
118 S Elliott Place #1,Brooklyn,NY,11217,USA,40.685884,-73.975648,6600,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/Brooklyn/118-S-Elliott-Place/property/16340120
96 N 8th Street #4,Brooklyn,NY,11249,USA,40.719814,-73.959594,4800,USD,"Condo, 2 Beds, 1 Bath, 875 Sq Ft",Condo,2,1,875,https://www.citysnap.com/NY/Brooklyn/96-N-8th-Street/property/16374573
618 Avenue H   #2 C,Brooklyn,NY,11230,USA,40.628792,-73.970441,3400,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/Brooklyn/618-Avenue-H/property/29110426
611 Vanderbilt Street #2,Brooklyn,NY,11218,USA,40.653886,-73.97587,3500,USD,"Multi-Family, 2 Beds, 1 Bath, 750 Sq Ft",Multi-Family,2,1,750,https://www.citysnap.com/NY/Brooklyn/611-Vanderbilt-Street/property/16493495
1892 Bergen Street #2,Brooklyn,NY,11233,USA,40.674142,-73.918609,2695,USD,"Co-op, 2 Beds, 1 Bath, 900 Sq Ft",Co-op,2,1,900,https://www.citysnap.com/NY/Brooklyn/1892-Bergen-Street/property/16620512
212 Devoe Street #3,Brooklyn,NY,11211,USA,40.713776,-73.942346,4300,USD,"Multi-Family, 2 Beds, 1 Bath, 0.03 Acres",Multi-Family,2,1,0,https://www.citysnap.com/NY/Brooklyn/212-Devoe-Street/property/33947709
41 Maspeth Avenue #1R,Brooklyn,NY,11211,USA,40.715702,-73.941353,3999,USD,"Condo, 2 Beds, 1 Bath, 750 Sq Ft, 0.03 Acres",Condo,2,1,750,https://www.citysnap.com/NY/Brooklyn/41-Maspeth-Avenue/property/16539553
1559 Sterling Place #1,Brooklyn,NY,11213,USA,40.671483,-73.927028,2850,USD,"Multi-Family, 2 Beds, 1 Bath, 0.05 Acres",Multi-Family,2,1,0,https://www.citysnap.com/NY/Brooklyn/1559-Sterling-Place/property/32643397
285 Court Street #3F,New York City,NY,11231,USA,40.68424,-73.994777,4500,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/New-York-City/285-Court-Street/property/16400937
909 E 29th Street #5B,Brooklyn,NY,11210,USA,40.628818,-73.94798,2800,USD,"Co-op, 2 Beds, 1 Bath",Co-op,2,1,0,https://www.citysnap.com/NY/Brooklyn/909-E-29th-Street/property/16954456
733 Rogers Avenue #601,Brooklyn,NY,11226,USA,40.65338,-73.95235,3130,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/Brooklyn/733-Rogers-Avenue/property/21711629
970 41 Street #4 F,Brooklyn,NY,11219,USA,40.643522,-73.994616,2600,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/Brooklyn/970-41-Street/property/33941390
390 5th Avenue #3 A,New York City,NY,11215,USA,40.670881,-73.985145,3750,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/New-York-City/390-5th-Avenue/property/33945054
838 Jefferson Avenue #1-L,Brooklyn,NY,11221,USA,40.686027,-73.923952,3200,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/Brooklyn/838-Jefferson-Avenue/property/33945303
295 Graham Avenue #1,New York City,NY,11211,USA,40.712762,-73.944355,3300,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/New-York-City/295-Graham-Avenue/property/16374821
1014 New York Avenue #1,Brooklyn,NY,11203,USA,40.648483,-73.946735,2550,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/Brooklyn/1014-New-York-Avenue/property/24101568
991 Lorimer Street #3,Brooklyn,NY,11222,USA,40.725461,-73.953095,4950,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/Brooklyn/991-Lorimer-Street/property/33936513
545 Vanderbilt Avenue #26-D,Brooklyn,NY,11238,USA,40.681457,-73.967112,5411,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/Brooklyn/545-Vanderbilt-Avenue/property/33928705
41 Hawthorne Street #2-B,Brooklyn,NY,11225,USA,40.657563,-73.958877,3295,USD,"Multi-Family, 2 Beds, 1 Bath, 0.05 Acres",Multi-Family,2,1,0,https://www.citysnap.com/NY/Brooklyn/41-Hawthorne-Street/property/33928674
67 Willow Street #5,Brooklyn,NY,11201,USA,40.699124,-73.994691,5500,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/Brooklyn/67-Willow-Street/property/16619942
223 Covert Street #3,Brooklyn,NY,11207,USA,40.69102,-73.908036,3000,USD,"Co-op, 2 Beds, 1 Bath, 900 Sq Ft",Co-op,2,1,900,https://www.citysnap.com/NY/Brooklyn/223-Covert-Street/property/33934113
128 Wythe Avenue #3F,Brooklyn,NY,11249,USA,40.720516,-73.959542,5600,USD,"Condo, 2 Beds, 1 Bath, 1,100 Sq Ft",Condo,2,1,1100,https://www.citysnap.com/NY/Brooklyn/128-Wythe-Avenue/property/16616037
1275 Nostrand Avenue #1 R,Brooklyn,NY,11226,USA,40.65605,-73.949873,2700,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/Brooklyn/1275-Nostrand-Avenue/property/33920427
485 Myrtle Avenue #2,Brooklyn,NY,11205,USA,40.693625,-73.965745,3200,USD,"Condo, 2 Beds, 1 Bath, 900 Sq Ft",Condo,2,1,900,https://www.citysnap.com/NY/Brooklyn/485-Myrtle-Avenue/property/16587831
45 Madison Street #2,Brooklyn,NY,11238,USA,40.684175,-73.95727,3900,USD,"Co-op, 2 Beds, 1 Bath",Co-op,2,1,0,https://www.citysnap.com/NY/Brooklyn/45-Madison-Street/property/16432601
86 Carroll Street #2,Brooklyn,NY,11231,USA,40.682512,-74.002656,4500,USD,"Condo, 2 Beds, 1 Bath",Condo,2,1,0,https://www.citysnap.com/NY/Brooklyn/86-Carroll-Street/property/16475317
576 Lenox Road #1 R,Brooklyn,NY,11203,USA,40.654611,-73.93893,3200,USD,"Condo, 2 Beds, 1Â½ Baths",Condo,2,1.5,0,https://www.citysnap.com/NY/Brooklyn/576-Lenox-Road/property/33954044
