Neighborhood,Postal Code,Rent,# Beds,# Baths,Payment Standard (PS),Ratio
Brooklyn,11205,3250,1,1,2696,1.2
Brooklyn,11216,2895,1,1,2696,1.1
Manhattan,10004,4995,1,0,2696,1.9
Brooklyn,11238,3200,1,2,2696,1.2
Manhattan,11217,2800,1,1,2696,1
Brooklyn,11201,4000,1,1,2696,1.5
Manhattan,10038,5700,1,1,2696,2.1
Brooklyn,11215,3000,1,1,2696,1.1
Brooklyn,11215,3950,1,0,2696,1.5
Manhattan,10007,5800,1,1,2696,2.2
Manhattan,10038,3813,1,1,2696,1.4
Brooklyn,11201,3900,1,1,2696,1.4
Brooklyn,11201,5200,1,1,2696,1.9
Brooklyn,11211,5500,1,1,2696,2
Brooklyn,11205,2850,1,1,2696,1.1
Brooklyn,11211,4200,1,1,2696,1.6
Manhattan,10005,6500,1,2,2696,2.4
Manhattan,10002,7995,1,1,2696,3
Manhattan,10038,5380,1,1,2696,2
Manhattan,10038,6200,1,1,2696,2.3
Brooklyn,11201,5239,1,1,2696,1.9
Brooklyn,11238,4000,1,1,2696,1.5
Brooklyn,11201,5308,1,1,2696,2
Manhattan,11217,2800,1,1,2696,1
Brooklyn,11205,4200,1,1,2696,1.6
Manhattan,10005,4950,1,1,2696,1.8
Brooklyn,11216,2995,1,1,2696,1.1
Manhattan,10002,6350,1,1,2696,2.4
Manhattan,10002,5550,1,1,2696,2.1
Manhattan,10038,5000,1,1,2696,1.9
Manhattan,10006,4400,1,1,2696,1.6
Brooklyn,11201,6000,1,0,2696,2.2
Manhattan,10006,4500,1,1,2696,1.7
Brooklyn,11205,3300,1,1,2696,1.2
Brooklyn,11205,3500,1,1,2696,1.3
Manhattan,10280,4200,1,1,2696,1.6
Manhattan,10002,5650,1,1,2696,2.1
Dumbo,11201,6000,1,1,2696,2.2
Boerumhl,11201,3900,1,1,2696,1.4
Brooklyn,11231,4025,1,1,2696,1.5
Manhattan,10006,13500,1,2,2696,5
Brooklyn,11231,3450,1,0,2696,1.3
Brooklyn,11238,4288,1,1,2696,1.6
Williamsburg,11211,4725,1,1,2696,1.8
Manhattan,10002,4950,1,1,2696,1.8
Clinton Hill,11205,3875,1,1,2696,1.4
